Level,XP to next,Total XP so far,Unlocks,Level up grant
93,"657,332","21,122,203",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
94,"670,468","21,779,535",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
95,"683,723","22,450,003",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
96,"697,097","23,133,726",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
97,"710,590","23,830,823",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
98,"724,202","24,541,413",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
99,"737,932","25,265,615",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
100,"751,781","26,003,547",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
101,"765,748","26,755,328",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
102,"779,833","27,521,076",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
103,"794,036","28,300,909",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
104,"808,357","29,094,945",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
105,"822,795","29,903,302",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
106,"837,350","30,726,097",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
107,"852,023","31,563,447",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
108,"866,813","32,415,470",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
109,"881,719","33,282,283",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
110,"896,742","34,164,002",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
111,"911,882","35,060,744",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
112,"927,138","35,972,626",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
113,"942,511","36,899,764",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
114,"957,999","37,842,275",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
115,"973,604","38,800,274",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
116,"989,324","39,773,878",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
117,"1,005,160","40,763,202",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
118,"1,021,111","41,768,362",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
119,"1,037,178","42,789,473",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
120,"1,053,359","43,826,651",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
121,"1,069,656","44,880,010",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
122,"1,086,068","45,949,666",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
123,"1,102,594","47,035,734",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
124,"1,119,235","48,138,328",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
125,"1,135,991","49,257,563",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
126,"1,152,861","50,393,554",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
127,"1,169,845","51,546,415",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
128,"1,186,943","52,716,260",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
129,"1,204,155","53,903,203",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
130,"1,221,480","55,107,358",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
131,"1,238,920","56,328,838",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
132,"1,256,473","57,567,758",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
133,"1,274,139","58,824,231",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
134,"1,291,919","60,098,370",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
135,"1,309,811","61,390,289",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
136,"1,327,817","62,700,100",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
137,"1,345,936","64,027,917",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
138,"1,364,167","65,373,853",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
139,"1,382,511","66,738,020",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
140,"1,400,968","68,120,531",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
141,"1,419,537","69,521,499",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
142,"1,438,218","70,941,036",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
143,"1,457,011","72,379,254",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
144,"1,475,917","73,836,265",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
145,"1,494,934","75,312,182",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
146,"1,514,063","76,807,116",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
147,"1,533,304","78,321,179",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
148,"1,552,657","79,854,483",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
149,"1,572,121","81,407,140",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
150,—,"82,979,261",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
